Center X: 130.500000, Center Y: 128.000000
Center X: 97.000000, Center Y: 163.000000
Center X: 105.000000, Center Y: 166.000000
Center X: 106.000000, Center Y: 165.000000
Center X: 105.000000, Center Y: 167.000000
Center X: 121.000000, Center Y: 118.000000
Center X: 140.500000, Center Y: 165.000000
Center X: 105.500000, Center Y: 164.000000
Center X: 140.500000, Center Y: 127.000000
Center X: 105.500000, Center Y: 127.000000
Center X: 140.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 160.500000
Center X: 141.000000, Center Y: 126.000000
Center X: 107.500000, Center Y: 125.000000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 161.500000
Center X: 141.000000, Center Y: 126.500000
Center X: 108.000000, Center Y: 126.000000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.500000, Center Y: 161.500000
Center X: 141.500000, Center Y: 126.500000
Center X: 108.000000, Center Y: 126.000000
Center X: 141.000000, Center Y: 163.500000
Center X: 107.000000, Center Y: 162.500000
Center X: 141.000000, Center Y: 127.000000
Center X: 107.000000, Center Y: 127.500000
Center X: 141.000000, Center Y: 163.500000
Center X: 107.000000, Center Y: 162.500000
Center X: 141.000000, Center Y: 127.000000
Center X: 107.000000, Center Y: 127.500000
Center X: 141.000000, Center Y: 163.500000
Center X: 107.000000, Center Y: 162.500000
Center X: 141.000000, Center Y: 127.000000
Center X: 106.500000, Center Y: 127.500000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 162.500000
Center X: 141.000000, Center Y: 127.000000
Center X: 106.500000, Center Y: 127.000000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 162.500000
Center X: 141.000000, Center Y: 127.000000
Center X: 106.500000, Center Y: 127.000000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 161.500000
Center X: 141.000000, Center Y: 126.500000
Center X: 106.500000, Center Y: 127.000000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 161.500000
Center X: 141.000000, Center Y: 126.500000
Center X: 106.500000, Center Y: 126.500000
Center X: 141.000000, Center Y: 163.000000
Center X: 107.000000, Center Y: 161.500000
Center X: 141.000000, Center Y: 126.000000
Center X: 107.000000, Center Y: 126.000000
Center X: 140.000000, Center Y: 161.500000
Center X: 107.000000, Center Y: 160.000000
Center X: 141.000000, Center Y: 125.000000
Center X: 107.000000, Center Y: 125.000000
Center X: 140.000000, Center Y: 161.500000
Center X: 107.000000, Center Y: 159.500000
Center X: 141.000000, Center Y: 125.000000
Center X: 107.000000, Center Y: 125.000000
Center X: 140.500000, Center Y: 161.000000
Center X: 107.000000, Center Y: 159.500000
Center X: 141.000000, Center Y: 125.000000
Center X: 107.500000, Center Y: 124.500000
Center X: 140.500000, Center Y: 161.000000
Center X: 107.000000, Center Y: 159.500000
Center X: 141.000000, Center Y: 125.000000
Center X: 107.500000, Center Y: 124.500000
Center X: 140.500000, Center Y: 161.000000
Center X: 107.000000, Center Y: 159.500000
Center X: 141.000000, Center Y: 125.000000
Center X: 107.500000, Center Y: 124.500000
Center X: 140.500000, Center Y: 161.000000
Center X: 107.000000, Center Y: 159.500000
Center X: 141.000000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.000000
Center X: 141.500000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 160.000000
Center X: 141.000000, Center Y: 125.000000
Center X: 108.000000, Center Y: 125.000000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.000000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.000000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.000000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.000000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.000000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.000000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.000000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.500000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.500000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.500000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 108.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 160.500000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 109.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 109.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 109.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 161.000000
Center X: 108.000000, Center Y: 159.500000
Center X: 141.500000, Center Y: 124.000000
Center X: 109.000000, Center Y: 124.500000
Center X: 141.000000, Center Y: 161.000000
