Center X: 130.500000, Center Y: 128.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 45.000000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 45.000000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 44.500000, Center Y: 147.500000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 22.000000, Center Y: 119.500000
Center X: 44.500000, Center Y: 147.500000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 22.000000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 45.000000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 45.000000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 45.000000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 147.500000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 147.500000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 22.000000, Center Y: 119.000000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.500000
Center X: 44.500000, Center Y: 148.000000
Center X: 21.500000, Center Y: 146.500000
Center X: 45.000000, Center Y: 119.000000
Center X: 21.500000, Center Y: 119.000000
Center X: 44.500000, Center Y: 147.500000
Center X: 21.500000, Center Y: 146.500000
